"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 11 months 21 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-10-08,2022-10-08 03:17:03,148,12,"White"
"30165489","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 10 months 26 days","Female","Large","Tan","","No","Unknown","Dog Quarantine",2022-10-06,"Gucci",2022-10-08,2022-10-08 03:17:03,2,8,"Tan"
"30704953","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 8 months 10 days","Male","Large","Grey/White","","No","Unknown","Foster Home",2022-09-07,"Jeremy (Tadoe)",2022-10-08,2022-10-08 03:17:03,31,12,"Grey"
"31242951","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 5 months 3 days","Male","Large","Black/White","","No","Unknown","Office",2022-09-30,"Max",2022-10-08,2022-10-08 03:17:03,8,7,"Black"
"33852112","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 6 months 10 days","Female","Large","Brown","","No","Unknown","Doggie Town",2022-08-27,"Starbright",2022-10-08,2022-10-08 03:17:03,42,6,"Brown"
"40481888","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 9 months 6 days","Female","Large","Brindle","","No","Unknown","Foster Home",2022-09-18,"Mama",2022-10-08,2022-10-08 03:17:03,20,5,"Brindle"
"41274685","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 5 months 28 days","Male","Large","Tan","","No","Unknown","Doggie Den",2022-10-04,"Banz (Angelo)",2022-10-08,2022-10-08 03:17:03,4,6,"Tan"
"41901670","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 3 months 29 days","Female","Large","Black/White","","No","Unknown","Foster Home",2022-08-27,"Soulja Girl (Pixie)",2022-10-08,2022-10-08 03:17:03,42,8,"Black"
"43232564","Dog","Mastiff/Mix","3 years  1 month 29 days","Male","Small","Fawn",NA,"No","Unknown","Dog Quarantine",2022-10-06,"Paco",2022-10-08,2022-10-08 03:17:03,2,3,"Fawn"
"43325255","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 3 months 10 days","Female","Large","Blue/White","","No","Unknown","Foster Home",2022-09-02,"TugRope 10 (Moma)",2022-10-08,2022-10-08 03:17:03,36,3,"Blue"
"43331139","Dog","Terrier, Pit Bull/Mix","2 years 11 months 26 days","Female","Large","Grey/White",NA,"No","Unknown","Rover Refuge",2022-10-05,"Lila (Nyla)",2022-10-08,2022-10-08 03:17:03,3,2,"Grey"
