"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"30529516","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","8 years 9 months 24 days","Female","Small","Tan","","No","Unknown","Doggie Den",2022-04-22,"Opal (Amber)",2022-05-01,2022-05-01 03:30:08,9,8,"Tan"
"48560637","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","9 years 8 months","Male","Large","Black/White","","No","Unknown","Foster Home",2022-04-13,"Jarvis (Max) (Lucky)",2022-05-01,2022-05-01 03:30:08,18,9,"Black"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year  1 month 9 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-05-01,2022-05-01 03:30:08,158,1,"White"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 4 months 11 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-05-01,2022-05-01 03:30:08,132,3,"Brown"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 3 months 16 days","Male","Medium","Tan/White",NA,"No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-05-01,2022-05-01 03:30:08,107,2,"Tan"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years  1 month 9 days","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-05-01,2022-05-01 03:30:08,102,6,"White"
"49458265","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 16 days","Female","XL","Black","","No","Unknown","Foster Home",2022-01-23,"Samantha",2022-05-01,2022-05-01 03:30:08,98,8,"Black"
"49589325","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 2 months 18 days","Male","Large","Brown/White","","No","Unknown","Doggie Den",2022-04-23,"Queso (Fendi)",2022-05-01,2022-05-01 03:30:08,8,1,"Brown"
"49601836","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 months 16 days","Female","Large","Black/White","","No","Unknown","Doggie Den",2022-02-15,"Royal Tea",2022-05-01,2022-05-01 03:30:08,75,2,"Black"
"49706606","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years  1 month 27 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Pluto",2022-05-01,2022-05-01 03:30:08,44,7,"Tan"
"49706658","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years  1 month 27 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Bear",2022-05-01,2022-05-01 03:30:08,44,5,"Tan"
"49714726","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","12 years  1 month 25 days","Male","Medium","White/Black",NA,"No","Unknown","Foster Home",2022-03-06,"Crow",2022-05-01,2022-05-01 03:30:08,56,12,"White"
"49781904","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years  1 month 15 days","Male","Large","Brown","","No","Unknown","Foster Home",2022-03-16,"Dinosaur",2022-05-01,2022-05-01 03:30:08,46,5,"Brown"
"49822279","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 months 9 days","Male","Large","Brindle",NA,"No","Unknown","Doggie Town",2022-03-22,"Reese",2022-05-01,2022-05-01 03:30:08,40,1,"Brindle"
"49823010","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years  1 month 8 days","Male","Large","Black/White",NA,"No","Unknown","Foster Home",2022-03-22,"Flash",2022-05-01,2022-05-01 03:30:08,40,5,"Black"
"49824728","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 7 months 9 days","Female","Medium","Brindle","","No","Yes","Rover Refuge",2022-03-23,"LuLu",2022-05-01,2022-05-01 03:30:08,39,3,"Brindle"
"49911770","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 26 days","Male","Large","Black/White",NA,"No","Unknown","Doggie Town",2022-04-05,"Sasquatch (Benny)",2022-05-01,2022-05-01 03:30:08,26,2,"Black"
"49931232","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 23 days","Female","Large","White/Brindle",NA,"No","Unknown","Foster Home",2022-04-08,"Georgia",2022-05-01,2022-05-01 03:30:08,23,5,"White"
"49940663","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 22 days","Female","Medium","Fawn","","No","Unknown","Mutt Hut",2022-04-09,"Baba Ghanoush",2022-05-01,2022-05-01 03:30:08,22,2,"Fawn"
"49940709","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years 22 days","Male","Medium","Brown/Grey","","No","Unknown","Mutt Hut",2022-04-20,"BJ",2022-05-01,2022-05-01 03:30:08,11,4,"Brown"
"49945337","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 20 days","Female","Large","White/Black",NA,"No","Unknown","Rover Refuge",2022-04-10,"Brioche",2022-05-01,2022-05-01 03:30:08,21,4,"White"
"49956356","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 19 days","Male","Large","Blue","","No","Yes","Doggie Den",2022-04-12,"Bob Barker",2022-05-01,2022-05-01 03:30:08,19,3,"Blue"
"49961280","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","14 years 18 days","Male","Large","White/Tan",NA,"No","Unknown","Foster Home",2022-04-12,"Freckles",2022-05-01,2022-05-01 03:30:08,19,14,"White"
"49970033","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","11 months 17 days","Male","Medium","Tan/White",NA,"No","Unknown","Rover Refuge",2022-04-16,"Booster",2022-05-01,2022-05-01 03:30:08,15,0,"Tan"
"49987216","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 14 days","Male","Large","Brown","","No","Unknown","Rover Refuge",2022-04-16,"Mico",2022-05-01,2022-05-01 03:30:08,15,1,"Brown"
"49989473","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 13 days","Male","Medium","Brindle/White",NA,"No","Unknown","Pooch Place",2022-04-18,"Ryder",2022-05-01,2022-05-01 03:30:08,13,4,"Brindle"
"49997999","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 12 days","Female","Medium","Brown","","No","Unknown","Doggie Den",2022-04-19,"Choco Taco",2022-05-01,2022-05-01 03:30:08,12,1,"Brown"
"50011447","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years 11 days","Female","Medium","Brown",NA,"No","Unknown","Mutt Hut",2022-04-20,"Hot Cocoa",2022-05-01,2022-05-01 03:30:08,11,4,"Brown"
"50035682","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 7 days","Female","Medium","Grey",NA,"No","Unknown","Doggie Town",2022-04-24,"Bandi",2022-05-01,2022-05-01 03:30:08,7,4,"Grey"
"50039110","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 6 days","Male","Large","Grey/White",NA,"No","Unknown","Doggie Den",2022-04-24,"Tractor",2022-05-01,2022-05-01 03:30:08,7,4,"Grey"
"50045235","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","6 months 6 days","Female","Medium","Brown",NA,"No","Unknown","Doggie Town",2022-04-26,"Nova",2022-05-01,2022-05-01 03:30:08,5,0,"Brown"
