"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 7 months 2 days","Male","Large","White/Brown","","No","Unknown","Doggie Town",2022-05-13,"Bob Barker",2022-05-19,2022-05-19 03:12:01,6,12,"White"
"20556418","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Terrier","13 years 7 days","Female","Medium","Brown","","No","Unknown","Office",2022-05-12,"Lillian",2022-05-19,2022-05-19 03:12:01,7,13,"Brown"
"24788852","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 9 months 22 days","Male","Medium","Brown/White","","No","Unknown","Doggie Town",2022-05-11,"Holden",2022-05-19,2022-05-19 03:12:01,8,8,"Brown"
"33937702","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 6 months 7 days","Male","Medium","Red","","No","Unknown","Dog Quarantine",2022-05-17,"Redz (Boy Boy)",2022-05-19,2022-05-19 03:12:01,2,7,"Red"
"41007204","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","3 years 5 months 6 days","Male","Small","Cream","","No","Unknown","Doggie Town",2022-05-16,"Choo Choo 2 (Tru)",2022-05-19,2022-05-19 03:12:01,3,3,"Cream"
"43111503","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 18 days","Male","Large","Black/White","","No","Unknown","Rover Refuge",2022-05-07,"Onyx",2022-05-19,2022-05-19 03:12:01,12,4,"Black"
"48135639","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 10 months 17 days","Male","Large","Tan","","No","Unknown","Dog Intake",2022-05-16,"Falcor (Caesar)",2022-05-19,2022-05-19 03:12:01,3,2,"Tan"
"48519035","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 8 months 24 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-05-08,"Edman",2022-05-19,2022-05-19 03:12:01,11,4,"White"
"49010609","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 months 15 days","Female","Large","Tan","","No","Unknown","Doggie Town",2022-04-26,"Chamaca",2022-05-19,2022-05-19 03:12:01,23,1,"Tan"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 4 months 29 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-05-19,2022-05-19 03:12:01,150,3,"Brown"
