"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 7 months 10 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-05-27,2022-05-27 03:16:53,14,12,"White"
"20556418","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Terrier","13 years 15 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-05-12,"Lillian",2022-05-27,2022-05-27 03:16:53,15,13,"Brown"
"24788852","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 10 months","Male","Medium","Brown/White","","No","Unknown","Doggie Town",2022-05-11,"Holden",2022-05-27,2022-05-27 03:16:53,16,8,"Brown"
"33937702","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 6 months 15 days","Male","Medium","Red","","No","Unknown","Doggie Den",2022-05-17,"Redz (Boy Boy)",2022-05-27,2022-05-27 03:16:53,10,7,"Red"
"34788733","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","10 years 2 months 22 days","Female","Large","White/Tan","","No","Unknown","Rover Refuge",2022-05-23,"Penelope",2022-05-27,2022-05-27 03:16:53,4,10,"White"
"43111503","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 26 days","Male","Large","Black/White","","No","Unknown","Rover Refuge",2022-05-07,"Onyx",2022-05-27,2022-05-27 03:16:53,20,4,"Black"
"48135639","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 10 months 25 days","Male","Large","Tan","","No","Unknown","Doggie Town",2022-05-22,"Falcor (Caesar)",2022-05-27,2022-05-27 03:16:53,5,2,"Tan"
"48519035","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 9 months 2 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-05-08,"Edman",2022-05-27,2022-05-27 03:16:53,19,4,"White"
"49010609","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 months 23 days","Female","Large","Tan","","No","Unknown","Foster Home",2022-04-26,"Chamaca",2022-05-27,2022-05-27 03:16:53,31,1,"Tan"
"49097909","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 20 days","Female","Medium","White","","No","Unknown","Rover Refuge",2022-05-07,"Maddie",2022-05-27,2022-05-27 03:16:53,20,2,"White"
"49175000","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","11 months 26 days","Female","Medium","Black/White","","No","Unknown","Doggie Town",2022-05-23,"Miracle",2022-05-27,2022-05-27 03:16:53,4,0,"Black"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 5 months 7 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-05-27,2022-05-27 03:16:53,158,3,"Brown"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 4 months 12 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-05-27,2022-05-27 03:16:53,133,2,"Tan"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 2 months 5 days","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-05-27,2022-05-27 03:16:53,128,6,"White"
"49688639","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 2 months 25 days","Female","Large","Tan","","No","Unknown","Doggie Town",2022-05-24,"Vita (Lovie)",2022-05-27,2022-05-27 03:16:53,3,3,"Tan"
"49706606","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 2 months 23 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Pluto",2022-05-27,2022-05-27 03:16:53,70,7,"Tan"
"49706658","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 2 months 23 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Bear",2022-05-27,2022-05-27 03:16:53,70,5,"Tan"
