"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"11332652","Dog","Terrier, Yorkshire","12 years 10 months 16 days","Female","Small","Sable/Tan","","No","Unknown","Dog Intake",2022-08-09,"Love",2022-08-11,2022-08-11 03:12:47,2,12,"Sable"
"11681530","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Hound","12 years  1 month 19 days","Male","Medium","Black","","No","Yes","Foster Home",2022-06-06,"Pugsley",2022-08-11,2022-08-11 03:12:47,66,12,"Black"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 9 months 25 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-08-11,2022-08-11 03:12:47,90,12,"White"
"43086544","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 7 months 15 days","Male","Large","White",NA,"No","Unknown","Doggie Den",2022-07-25,"DJ",2022-08-11,2022-08-11 03:12:47,17,3,"White"
"43329339","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 8 months 13 days","Male","Medium","Black/White","","No","Unknown","Doggie Town",2022-08-02,"Bradox (Mooshie)",2022-08-11,2022-08-11 03:12:47,9,3,"Black"
"43893641","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 5 months 17 days","Male","Large","Brown","","No","Unknown","Office",2022-08-02,"Brodie",2022-08-11,2022-08-11 03:12:47,9,6,"Brown"
"46882050","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 4 months","Male","Large","Blue/White","","No","Unknown","Dog Quarantine",2022-08-08,"Blue DabaDee",2022-08-11,2022-08-11 03:12:47,3,2,"Blue"
"49068120","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 8 months 30 days","Male","Large","White/Brown","","No","Unknown","Rover Refuge",2022-08-07,"Cojac (Chip)",2022-08-11,2022-08-11 03:12:47,4,6,"White"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 6 months 27 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-08-11,2022-08-11 03:12:47,209,2,"Tan"
"49424171","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 3 days","Male","Large","Black",NA,"No","Unknown","Rover Refuge",2022-08-07,"Biggie Smalls (Black)",2022-08-11,2022-08-11 03:12:47,4,5,"Black"
"49867569","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 4 months 13 days","Female","Medium","White/Brown","","No","Unknown","Foster Home",2022-05-10,"Sugar",2022-08-11,2022-08-11 03:12:47,93,3,"White"
"49896312","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 4 months 8 days","Female","Medium","Fawn","","No","Unknown","Dog Quarantine",2022-08-07,"Azalea",2022-08-11,2022-08-11 03:12:47,4,2,"Fawn"
"50133334","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 3 months 4 days","Female","Large","Grey/White",NA,"No","Unknown","Office",2022-05-07,"Kiwi",2022-08-11,2022-08-11 03:12:47,96,1,"Grey"
"50193895","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 2 months 26 days","Male","Large","Brown/White","","No","Unknown","Foster Home",2022-05-15,"Marmaduke (Ace)",2022-08-11,2022-08-11 03:12:47,88,7,"Brown"
"50294690","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 8 months 15 days","Male","Large","Bronze/Bronze","","No","Unknown","Dog Intake",2022-08-10,"Jonathan (Prince)",2022-08-11,2022-08-11 03:12:47,1,1,"Bronze"
"50392301","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 2 months 2 days","Male","Large","Brown","","No","Unknown","Foster Home",2022-07-09,"Billiam (Draco)",2022-08-11,2022-08-11 03:12:47,33,1,"Brown"
