"animal_id","species","breed","age","gender","size","color","declawed","housetrained","location","intake_date","spayed_neutered","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"51233446","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 12 days","Female","Large","White/Brown","No","Unknown","Mutt Hut",2022-09-30,NA,"Earth",2022-10-13,2022-10-13 03:54:56,13,1,"White"
"51233598","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 12 days","Female","Medium","Tan","No","Unknown","Doggie Den",2022-10-01,"","Leilah",2022-10-13,2022-10-13 03:54:56,12,1,"Tan"
"51238122","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 6 months 10 days","Female","Large","Brown/White","No","Unknown","Office",2022-10-02,"","Annabelle",2022-10-13,2022-10-13 03:54:56,11,2,"Brown"
"51239207","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 11 days","Female","Large","Brindle","No","Unknown","Doggie Den",2022-10-02,"","Dapper",2022-10-13,2022-10-13 03:54:56,11,4,"Brindle"
"51241696","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 10 days","Female","Medium","Black/White","No","Unknown","Foster Home",2022-10-02,"","Shirley",2022-10-13,2022-10-13 03:54:56,11,8,"Black"
"51246428","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 6 months 9 days","Female","Large","Black/White","No","Unknown","Doggie Den",2022-10-03,"","Mater",2022-10-13,2022-10-13 03:54:56,10,1,"Black"
"51246523","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 10 days","Male","Medium","White/Brown","No","Unknown","Rover Refuge",2022-10-03,NA,"Sir Edward",2022-10-13,2022-10-13 03:54:56,10,2,"White"
"51248016","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","7 months 10 days","Female","Medium","Brindle/White","No","Unknown","Foster Home",2022-10-03,NA,"Tallahasee",2022-10-13,2022-10-13 03:54:56,10,0,"Brindle"
"51250583","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 9 days","Female","Large","Brown","No","Unknown","Foster Home",2022-10-04,NA,"Gigi",2022-10-13,2022-10-13 03:54:56,9,6,"Brown"
"51250650","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 9 days","Male","Large","White/Black","No","Unknown","Rover Refuge",2022-10-04,NA,"Gordon",2022-10-13,2022-10-13 03:54:56,9,2,"White"
"51255102","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 8 days","Female","Medium","Brown/White","No","Unknown","Doggie Town",2022-10-04,NA,"Penny",2022-10-13,2022-10-13 03:54:56,9,3,"Brown"
"51258114","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 8 days","Male","Large","White/Black","No","Unknown","Pooch Place",2022-10-04,NA,"Tarzan",2022-10-13,2022-10-13 03:54:56,9,3,"White"
"51260357","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 6 months 7 days","Male","Medium","Brown/White","No","Unknown","Pooch Place",2022-10-05,NA,"Capsian",2022-10-13,2022-10-13 03:54:56,8,3,"Brown"
"51264898","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 8 days","Female","Medium","Brown/White","No","Unknown","Dog Quarantine",2022-10-05,NA,"Wingnut",2022-10-13,2022-10-13 03:54:56,8,3,"Brown"
"51266756","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","11 months 7 days","Male","Large","Chocolate/White","No","Unknown","Foster Home",2022-10-05,NA,"Brown Sugar",2022-10-13,2022-10-13 03:54:56,8,0,"Chocolate"
"51268233","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 7 days","Male","Large","Brown/White","No","Unknown","Doggie Town",2022-10-06,NA,"Kings Dominion",2022-10-13,2022-10-13 03:54:56,7,3,"Brown"
"51282811","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 5 days","Female","Large","Black/White","No","Unknown","Mutt Hut",2022-10-07,NA,"Wednesday",2022-10-13,2022-10-13 03:54:56,6,2,"Black"
"51285487","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 10 months 10 days","Female","Medium","Tan/White","No","Unknown","Doggie Den",2022-10-08,"","Kita",2022-10-13,2022-10-13 03:54:56,5,5,"Tan"
"51287112","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 4 days","Female","Large","Black/White","No","Unknown","Rover Refuge",2022-10-09,NA,"Regina",2022-10-13,2022-10-13 03:54:56,4,1,"Black"
"51287160","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 6 months 4 days","Female","Medium","Brindle","No","Unknown","Doggie Den",2022-10-09,NA,"Trixie",2022-10-13,2022-10-13 03:54:56,4,1,"Brindle"
"51287572","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 4 days","Male","Large","Grey/White","No","Unknown","Pooch Place",2022-10-09,NA,"Oh Henry",2022-10-13,2022-10-13 03:54:56,4,3,"Grey"
"51288315","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 4 days","Female","Medium","Black/Tan","No","Unknown","Doggie Den",2022-10-09,NA,"Hazelnut",2022-10-13,2022-10-13 03:54:56,4,1,"Black"
"51288831","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 4 days","Male","Large","Brown/Brindle","No","Unknown","Office",2022-10-09,NA,"Buster",2022-10-13,2022-10-13 03:54:56,4,1,"Brown"
"51289150","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 4 days","Male","Large","Black/White","No","Unknown","Doggie Den",2022-10-09,NA,"Beetlejuice",2022-10-13,2022-10-13 03:54:56,4,3,"Black"
"51290068","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 months 3 days","Female","Large","Tan/White","No","Unknown","Rover Refuge",2022-10-09,NA,"Musical Chairs",2022-10-13,2022-10-13 03:54:56,4,0,"Tan"
"51290087","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 3 days","Male","Large","White/Black","No","Unknown","Pooch Place",2022-10-10,NA,"Ratatouille",2022-10-13,2022-10-13 03:54:56,3,1,"White"
"51295617","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 3 days","Male","Medium","White/Tan","No","Unknown","Doggie Town",2022-10-10,NA,"Charcuterie",2022-10-13,2022-10-13 03:54:56,3,1,"White"
"51300224","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 days","Male","Large","White/Black","No","Unknown","Dog Intake",2022-10-11,NA,"Leonardo",2022-10-13,2022-10-13 03:54:56,2,2,"White"
"51303170","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","8 years 2 days","Male","Small","Brown","No","Unknown","Rover Refuge",2022-10-11,"","Happy",2022-10-13,2022-10-13 03:54:56,2,8,"Brown"
"51307200","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 months  1 day","Female","Large","Tan","No","Unknown","Doggie Town",2022-10-12,NA,"Butter Board",2022-10-13,2022-10-13 03:54:56,1,0,"Tan"
"51307210","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years  1 day","Female","Medium","Grey","No","Unknown","Doggie Town",2022-10-12,NA,"Cheese Plate",2022-10-13,2022-10-13 03:54:56,1,4,"Grey"
"51308707","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years  1 day","Male","Medium","White/Grey","No","Unknown","Rover Refuge",2022-10-12,NA,"Cricket",2022-10-13,2022-10-13 03:54:56,1,3,"White"
"51311795","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","4 months  1 day","Female","Small","White","No","Unknown","Pooch Place",2022-10-12,NA,"Bubbles",2022-10-13,2022-10-13 03:54:56,1,0,"White"
