"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"10155526","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","14 years 5 months 6 days","Female","Medium","Black/White","","No","Unknown","Office",2022-03-07,"Moma Moma",2022-03-13,2022-03-13 02:16:14,6,14,"Black"
"21884814","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 9 months 23 days","Male","Large","Tan/White","","No","Unknown","Foster Home",2022-02-11,"Joe Diffie (Sevens)",2022-03-13,2022-03-13 02:16:14,30,8,"Tan"
"34691521","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 21 days","Male","Large","Black/White","","No","Unknown","Foster Home",2022-02-11,"Tony",2022-03-13,2022-03-13 02:16:14,30,7,"Black"
"36200331","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 years 7 months  1 day","Female","Medium","Brown","","No","Unknown","Doggie Den",2022-03-04,"Corra",2022-03-13,2022-03-13 02:16:14,9,5,"Brown"
"39474369","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 6 months 18 days","Male","Large","Tan",NA,"No","Unknown","Doggie Den",2022-03-11,"Babydoll (Egypt)",2022-03-13,2022-03-13 02:16:14,2,5,"Tan"
"47604794","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 10 months 18 days","Male","Large","Blue","","No","Yes","Foster Home",2022-02-24,"Field Trip (Uzi)",2022-03-13,2022-03-13 02:16:14,17,8,"Blue"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","11 months 19 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-03-13,2022-03-13 02:16:14,109,0,"White"
"49179490","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","15 years 3 months 11 days","Female","Large","Black/White","","No","Unknown","Foster Home",2021-12-10,"Missy Elliott",2022-03-13,2022-03-13 02:16:14,93,15,"Black"
"49272530","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 months 24 days","Female","Large","White/Black","","No","Unknown","Foster Home",2021-12-17,"Opulent",2022-03-13,2022-03-13 02:16:14,86,2,"White"
"49337741","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 2 months 10 days","Male","XL","Black/Brown","","No","Unknown","Rover Refuge",2022-03-09,"Bricks",2022-03-13,2022-03-13 02:16:14,4,1,"Black"
