"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 8 months 27 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-07-14,2022-07-14 03:33:54,62,12,"White"
"20556418","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Terrier","13 years 2 months 2 days","Female","Medium","Brown","","No","Unknown","Office",2022-05-12,"Lillian",2022-07-14,2022-07-14 03:33:54,63,13,"Brown"
"33937702","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 8 months 2 days","Male","Medium","Red","","No","Unknown","Doggie Town",2022-06-19,"Redz (Boy Boy)",2022-07-14,2022-07-14 03:33:54,25,7,"Red"
"36100628","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 11 months 12 days","Male","Large","Black/Brindle","","No","Unknown","Rover Refuge",2022-07-09,"Mint (Duke)",2022-07-14,2022-07-14 03:33:54,5,5,"Black"
"40837324","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 4 months 20 days","Male","Large","Fawn","","No","Unknown","Rover Refuge",2022-07-12,"Zazu",2022-07-14,2022-07-14 03:33:54,2,5,"Fawn"
"43111503","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 2 months 13 days","Male","Large","Black/White","","No","Unknown","Doggie Town",2022-07-09,"Onyx",2022-07-14,2022-07-14 03:33:54,5,4,"Black"
"43928400","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 11 months 15 days","Female","Medium","Black/White","","No","Unknown","Foster Home",2022-04-07,"Chyna",2022-07-14,2022-07-14 03:33:54,98,3,"Black"
"44487849","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","9 years  1 month 4 days","Male","Large","Grey/White","","No","Unknown","Rover Refuge",2022-07-08,"Chunks (Cass)",2022-07-14,2022-07-14 03:33:54,6,9,"Grey"
"46323968","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 6 months 18 days","Male","Large","Blue","","No","Unknown","Doggie Town",2022-06-30,"Cashadena",2022-07-14,2022-07-14 03:33:54,14,2,"Blue"
"47520169","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 3 months 2 days","Male","Large","Brown/White","","No","Unknown","Doggie Town",2022-06-24,"Peanut",2022-07-14,2022-07-14 03:33:54,20,2,"Brown"
"48519035","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 10 months 19 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-05-08,"Edman",2022-07-14,2022-07-14 03:33:54,67,4,"White"
"49050644","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 2 months 2 days","Female","Large","Tan/White","","No","Unknown","Doggie Town",2022-06-29,"Blaze",2022-07-14,2022-07-14 03:33:54,15,3,"Tan"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 5 months 29 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-07-14,2022-07-14 03:33:54,181,2,"Tan"
"49443331","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","9 months 25 days","Female","Medium","White/Tan","","No","Unknown","Foster Home",2022-03-04,"Clover",2022-07-14,2022-07-14 03:33:54,132,0,"White"
"49499579","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 5 months 15 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-06-23,"Marley",2022-07-14,2022-07-14 03:33:54,21,5,"Tan"
"49706606","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 4 months 10 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Pluto",2022-07-14,2022-07-14 03:33:54,118,7,"Tan"
"49706658","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 4 months 10 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Bear",2022-07-14,2022-07-14 03:33:54,118,5,"Tan"
"49823010","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 3 months 21 days","Male","Large","Black/White",NA,"No","Unknown","Foster Home",2022-03-22,"Flash",2022-07-14,2022-07-14 03:33:54,114,5,"Black"
"49867569","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 3 months 15 days","Female","Medium","White/Brown","","No","Unknown","Foster Home",2022-05-10,"Sugar",2022-07-14,2022-07-14 03:33:54,65,3,"White"
