"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"11681530","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Hound","12 years 5 days","Male","Medium","Black","","No","Yes","Foster Home",2022-06-06,"Pugsley",2022-06-28,2022-06-28 03:23:36,22,12,"Black"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 8 months 11 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-06-28,2022-06-28 03:23:36,46,12,"White"
"20556418","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Terrier","13 years  1 month 16 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-05-12,"Lillian",2022-06-28,2022-06-28 03:23:36,47,13,"Brown"
"33937702","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 7 months 16 days","Male","Medium","Red","","No","Unknown","Doggie Town",2022-06-19,"Redz (Boy Boy)",2022-06-28,2022-06-28 03:23:36,9,7,"Red"
"38253013","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 2 months 20 days","Male","Large","Grey/White","","No","Unknown","Foster Home",2022-06-02,"Bryant",2022-06-28,2022-06-28 03:23:36,26,7,"Grey"
"47520169","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 months 16 days","Male","Large","Brown/White","","No","Unknown","Dog Quarantine",2022-06-24,"Peanut",2022-06-28,2022-06-28 03:23:36,4,2,"Brown"
"48434939","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 10 months 16 days","Male","Large","Grey/White","","No","Unknown","Mutt Hut",2022-06-03,"Braddish (Bruce McCullough)",2022-06-28,2022-06-28 03:23:36,25,1,"Grey"
"48519035","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 10 months 3 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-05-08,"Edman",2022-06-28,2022-06-28 03:23:36,51,4,"White"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 6 months 8 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-06-28,2022-06-28 03:23:36,190,3,"Brown"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 5 months 13 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-06-28,2022-06-28 03:23:36,165,2,"Tan"
"49443331","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","9 months 9 days","Female","Medium","White/Tan","","No","Unknown","Foster Home",2022-03-04,"Clover",2022-06-28,2022-06-28 03:23:36,116,0,"White"
"49499579","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 4 months 30 days","Male","XL","Tan","","No","Unknown","Doggie Town",2022-06-23,"Marley",2022-06-28,2022-06-28 03:23:36,5,5,"Tan"
"49706606","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 3 months 24 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Pluto",2022-06-28,2022-06-28 03:23:36,102,7,"Tan"
"49706658","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 3 months 24 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Bear",2022-06-28,2022-06-28 03:23:36,102,5,"Tan"
"49823010","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 3 months 5 days","Male","Large","Black/White",NA,"No","Unknown","Foster Home",2022-03-22,"Flash",2022-06-28,2022-06-28 03:23:36,98,5,"Black"
"49903537","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 2 months 24 days","Female","Medium","White/Brown","","No","Unknown","Rover Refuge",2022-06-23,"Patches",2022-06-28,2022-06-28 03:23:36,5,1,"White"
"49956356","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 2 months 16 days","Male","Large","Blue","","No","Yes","Dog Intake",2022-06-27,"Bob Barker (Gavin)",2022-06-28,2022-06-28 03:23:36,1,3,"Blue"
"49970033","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year  1 month 14 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-06-13,"Booster",2022-06-28,2022-06-28 03:23:36,15,1,"Tan"
"50119023","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years  1 month 23 days","Female","Large","Tan/White","","No","Unknown","Foster Home",2022-05-05,"Leona",2022-06-28,2022-06-28 03:23:36,54,12,"Tan"
"50133007","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","12 years  1 month 21 days","Female","Medium","Cream",NA,"No","Unknown","Foster Home",2022-05-07,"Clementine",2022-06-28,2022-06-28 03:23:36,52,12,"Cream"
"50133334","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year  1 month 21 days","Female","Large","Grey/White",NA,"No","Unknown","Foster Home",2022-05-07,"Kiwi",2022-06-28,2022-06-28 03:23:36,52,1,"Grey"
"50193895","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years  1 month 12 days","Male","Large","Brown/White","","No","Unknown","Foster Home",2022-05-15,"Marmaduke (Ace)",2022-06-28,2022-06-28 03:23:36,44,7,"Brown"
"50231325","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year  1 month 8 days","Male","Large","Black/Brown",NA,"No","Unknown","Foster Home",2022-05-19,"Dorito",2022-06-28,2022-06-28 03:23:36,40,1,"Black"
"50294690","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 months  1 day","Male","Large","Bronze/Bronze","","No","Unknown","Rover Refuge",2022-05-28,"Jonathan",2022-06-28,2022-06-28 03:23:36,31,1,"Bronze"
"50339461","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 26 days","Female","Large","Tan/White","","No","Unknown","Doggie Den",2022-06-02,"Alma",2022-06-28,2022-06-28 03:23:36,26,8,"Tan"
"50368752","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 21 days","Female","Large","Brown",NA,"No","Unknown","Office",2022-06-07,"Alba",2022-06-28,2022-06-28 03:23:36,21,2,"Brown"
"50389134","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","13 years 19 days","Male","Large","Brown/White",NA,"No","Unknown","Doggie Town",2022-06-09,"Old Soul",2022-06-28,2022-06-28 03:23:36,19,13,"Brown"
"50394641","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","7 years 19 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2022-06-09,"Darby",2022-06-28,2022-06-28 03:23:36,19,7,"Brown"
"50402182","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 18 days","Female","Large","Black",NA,"No","Unknown","Foster Home",2022-06-10,"Rosey Cheeks",2022-06-28,2022-06-28 03:23:36,18,10,"Black"
"50404553","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 17 days","Male","Large","Grey/White","","No","Unknown","Mutt Hut",2022-06-25,"Buster Addams",2022-06-28,2022-06-28 03:23:36,3,2,"Grey"
"50407417","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 17 days","Female","Large","Brown","","No","Unknown","Rover Refuge",2022-06-11,"Grenadine",2022-06-28,2022-06-28 03:23:36,17,3,"Brown"
"50411705","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","6 months 16 days","Female","Small","Black/White",NA,"No","Unknown","Foster Home",2022-06-12,"Magic Trick",2022-06-28,2022-06-28 03:23:36,16,0,"Black"
"50414380","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 15 days","Female","Medium","Brown/Black",NA,"No","Unknown","Foster Home",2022-06-13,"Apple Pie",2022-06-28,2022-06-28 03:23:36,15,1,"Brown"
"50414568","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 7 days","Female","Large","Brown","","No","Unknown","Foster Home",2022-06-13,"Bella",2022-06-28,2022-06-28 03:23:36,15,10,"Brown"
"50420737","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 15 days","Male","Medium","Bronze","","No","Unknown","Doggie Town",2022-06-13,"Bruno",2022-06-28,2022-06-28 03:23:36,15,4,"Bronze"
"50420775","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 15 days","Male","Medium","Tan",NA,"No","Unknown","Foster Home",2022-06-13,"Geoffrey",2022-06-28,2022-06-28 03:23:36,15,4,"Tan"
"50425997","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 14 days","Female","Medium","Brown",NA,"No","Unknown","Foster Home",2022-06-14,"Makayla",2022-06-28,2022-06-28 03:23:36,14,2,"Brown"
"50430307","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","","Male","Medium","Tan/White","","No","Unknown","Doggie Den",2022-06-16,"Belair",2022-06-28,2022-06-28 03:23:36,12,NA,"Tan"
"50435800","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 13 days","Male","Medium","White/Brown","","No","Unknown","Dog Intake",2022-06-27,"Banjo",2022-06-28,2022-06-28 03:23:36,1,1,"White"
"50438328","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 13 days","Female","Medium","Black/White","","No","Unknown","Doggie Town",2022-06-15,"Tula",2022-06-28,2022-06-28 03:23:36,13,1,"Black"
"50450718","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 12 days","Male","Large","White/Black",NA,"No","Unknown","Doggie Town",2022-06-16,"Chino",2022-06-28,2022-06-28 03:23:36,12,5,"White"
"50463345","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 11 days","Female","Medium","White/Tan","","No","Unknown","Doggie Den",2022-06-17,"Daisy Mae",2022-06-28,2022-06-28 03:23:36,11,6,"White"
"50465028","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 11 days","Male","Medium","Black/Tan",NA,"No","Unknown","Doggie Town",2022-06-17,"Paco",2022-06-28,2022-06-28 03:23:36,11,1,"Black"
"50465257","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 11 days","Female","Large","White/Black","","No","Unknown","Doggie Town",2022-06-17,"Gia",2022-06-28,2022-06-28 03:23:36,11,4,"White"
"50491770","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 7 days","Male","XL","Grey",NA,"No","Unknown","Mutt Hut",2022-06-21,"Bullseye",2022-06-28,2022-06-28 03:23:36,7,12,"Grey"
"50496060","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 days","Male","Large","Grey",NA,"No","Unknown","Foster Home",2022-06-21,"Phanta",2022-06-28,2022-06-28 03:23:36,7,1,"Grey"
