"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"21884814","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 10 months 3 days","Male","Large","Tan/White","","No","Unknown","Foster Home",2022-02-11,"Joe Diffie (Sevens)",2022-03-21,2022-03-21 02:41:41,38,8,"Tan"
"29501328","Dog","Shepherd/Terrier","6 years 11 months 11 days","Female","Medium","Black/Tan",NA,"No","Unknown","Doggie Town",2022-03-20,"Precious Simms",2022-03-21,2022-03-21 02:41:41,1,6,"Black"
"31072822","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years  1 day","Male","Large","Fawn/White","","No","Unknown","Doggie Den",2022-03-20,"Babbles(Gotti)",2022-03-21,2022-03-21 02:41:41,1,7,"Fawn"
"36200331","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 3 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-03-04,"Corra",2022-03-21,2022-03-21 02:41:41,17,8,"Brown"
"37033349","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","9 years 4 months 19 days","Male","Large","Black","","No","Unknown","Rover Refuge",2022-03-16,"Omaha (Max)",2022-03-21,2022-03-21 02:41:41,5,9,"Black"
"46190236","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 3 months 13 days","Female","Medium","Tan/White","","No","Unknown","Mutt Hut",2022-03-15,"Ginger Rogers",2022-03-21,2022-03-21 02:41:41,6,3,"Tan"
"48398225","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years 7 months 14 days","Female","Medium","Blue/White","","No","Unknown","Doggie Town",2022-03-17,"Chapstick",2022-03-21,2022-03-21 02:41:41,4,4,"Blue"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","11 months 27 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-03-21,2022-03-21 02:41:41,117,0,"White"
"49259589","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 9 months 5 days","Male","Large","Golden",NA,"No","Unknown","Foster Home",2021-12-15,"Peaches",2022-03-21,2022-03-21 02:41:41,96,1,"Golden"
"49337741","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 2 months 18 days","Male","XL","Black/Brown","","No","Unknown","Rover Refuge",2022-03-09,"Bricks",2022-03-21,2022-03-21 02:41:41,12,1,"Black"
"49374202","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 2 months 14 days","Female","Large","Grey/White","","No","Unknown","Foster Home",2022-01-07,"Pretty Girl",2022-03-21,2022-03-21 02:41:41,73,10,"Grey"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-03-21,2022-03-21 02:41:41,61,NA,"White"
"49458265","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years  1 month 27 days","Female","XL","Black","","No","Unknown","Foster Home",2022-01-23,"Samantha",2022-03-21,2022-03-21 02:41:41,57,8,"Black"
"49528852","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month 18 days","Male","Large","Brindle/Brown","","No","Unknown","Office",2022-02-03,"Obie",2022-03-21,2022-03-21 02:41:41,46,2,"Brindle"
"49601836","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month 6 days","Female","Large","Black/White",NA,"No","Unknown","Foster Home",2022-02-15,"Royal Tea",2022-03-21,2022-03-21 02:41:41,34,2,"Black"
"49679283","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 21 days","Female","Large","White/Brindle","","No","Unknown","Rover Refuge",2022-02-28,"Sweet Peaches",2022-03-21,2022-03-21 02:41:41,21,3,"White"
