"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"31072822","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 18 days","Male","Large","Fawn/White","","No","Unknown","Foster Home",2022-03-20,"Babbles(Gotti)",2022-04-07,2022-04-07 02:43:10,18,7,"Fawn"
"34800791","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years  1 month","Female","Large","Black/White","","No","Unknown","Doggie Town",2022-03-31,"Song (Bella)",2022-04-07,2022-04-07 02:43:10,7,6,"Black"
"36200331","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 20 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-03-04,"Corra",2022-04-07,2022-04-07 02:43:10,34,8,"Brown"
"42340880","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 5 months 9 days","Female","Large","Tan/White",NA,"No","Unknown","Doggie Den",2022-03-30,"Lola",2022-04-07,2022-04-07 02:43:10,8,3,"Tan"
"46075022","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 4 months 28 days","Male","Large","Brown","","No","Unknown","Rover Refuge",2022-04-05,"Upton",2022-04-07,2022-04-07 02:43:10,2,5,"Brown"
"46190236","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 3 months 30 days","Female","Medium","Tan/White","","No","Unknown","Rover Refuge",2022-03-15,"Ginger Rogers",2022-04-07,2022-04-07 02:43:10,23,3,"Tan"
"48696743","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 6 months 18 days","Male","Large","Tan","","No","Unknown","Rover Refuge",2022-04-03,"Honeybear",2022-04-07,2022-04-07 02:43:10,4,1,"Tan"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 16 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-04-07,2022-04-07 02:43:10,134,1,"White"
"49259589","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 9 months 22 days","Male","Large","Golden","","No","Unknown","Foster Home",2021-12-15,"Peaches",2022-04-07,2022-04-07 02:43:10,113,1,"Golden"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 3 months 18 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-04-07,2022-04-07 02:43:10,108,3,"Brown"
