"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"10155526","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","14 years 5 months 9 days","Female","Medium","Black/White","","No","Unknown","Office",2022-03-07,"Moma Moma",2022-03-16,2022-03-16 02:30:22,9,14,"Black"
"21884814","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 9 months 26 days","Male","Large","Tan/White","","No","Unknown","Foster Home",2022-02-11,"Joe Diffie (Sevens)",2022-03-16,2022-03-16 02:30:22,33,8,"Tan"
"28566249","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","12 years 8 months 5 days","Female","Small","Cream/Tan","","No","Partially","Rover Refuge",2022-03-12,"Sasha",2022-03-16,2022-03-16 02:30:22,4,12,"Cream"
"31513949","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 10 days","Male","Large","Black/Tan","","No","Unknown","Dog Intake",2022-03-13,"Rylee Wentworth",2022-03-16,2022-03-16 02:30:22,3,7,"Black"
"36200331","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 years 7 months 4 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-03-04,"Corra",2022-03-16,2022-03-16 02:30:22,12,5,"Brown"
"47582074","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 5 months 24 days","Male","Medium","Brown","","No","Unknown","Doggie Den",2022-03-10,"Blaze",2022-03-16,2022-03-16 02:30:22,6,1,"Brown"
"47604794","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 10 months 21 days","Male","Large","Blue","","No","Yes","Doggie Den",2022-02-24,"Field Trip (Uzi)",2022-03-16,2022-03-16 02:30:22,20,8,"Blue"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","11 months 22 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-03-16,2022-03-16 02:30:22,112,0,"White"
"49179490","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","15 years 3 months 14 days","Female","Large","Black/White","","No","Unknown","Foster Home",2021-12-10,"Missy Elliott",2022-03-16,2022-03-16 02:30:22,96,15,"Black"
"49337741","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 2 months 13 days","Male","XL","Black/Brown","","No","Unknown","Rover Refuge",2022-03-09,"Bricks",2022-03-16,2022-03-16 02:30:22,7,1,"Black"
"49374202","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 2 months 9 days","Female","Large","Grey/White","","No","Unknown","Foster Home",2022-01-07,"Pretty Girl",2022-03-16,2022-03-16 02:30:22,68,10,"Grey"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-03-16,2022-03-16 02:30:22,56,NA,"White"
"49458265","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years  1 month 22 days","Female","XL","Black","","No","Unknown","Foster Home",2022-01-23,"Samantha",2022-03-16,2022-03-16 02:30:22,52,8,"Black"
"49531856","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","11 months 13 days","Female","Medium","Black/White","","No","Unknown","Doggie Town",2022-03-14,"ESPN (Jaala)",2022-03-16,2022-03-16 02:30:22,2,0,"Black"
"49601836","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month  1 day","Female","Large","Black/White",NA,"No","Unknown","Foster Home",2022-02-15,"Royal Tea",2022-03-16,2022-03-16 02:30:22,29,2,"Black"
"49645707","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 22 days","Female","Large","Brindle","","No","Unknown","Dog Intake",2022-03-13,"Callie",2022-03-16,2022-03-16 02:30:22,3,1,"Brindle"
"49679283","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 16 days","Female","Large","White/Brindle","","No","Unknown","Rover Refuge",2022-02-28,"Sweet Peaches",2022-03-16,2022-03-16 02:30:22,16,3,"White"
