"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 7 months 5 days","Male","Large","White/Brown","","No","Unknown","Doggie Town",2022-05-13,"Bob Barker",2022-05-22,2022-05-22 02:58:34,9,12,"White"
"17780998","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 6 months 15 days","Female","Large","Blue/White","","No","Unknown","Doggie Town",2022-05-20,"Shelly",2022-05-22,2022-05-22 02:58:34,2,10,"Blue"
"20556418","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Terrier","13 years 10 days","Female","Medium","Brown","","No","Unknown","Office",2022-05-12,"Lillian",2022-05-22,2022-05-22 02:58:34,10,13,"Brown"
"24788852","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 9 months 25 days","Male","Medium","Brown/White","","No","Unknown","Doggie Town",2022-05-11,"Holden",2022-05-22,2022-05-22 02:58:34,11,8,"Brown"
"33937702","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 6 months 10 days","Male","Medium","Red","","No","Unknown","Doggie Den",2022-05-17,"Redz (Boy Boy)",2022-05-22,2022-05-22 02:58:34,5,7,"Red"
"43111503","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 21 days","Male","Large","Black/White","","No","Unknown","Rover Refuge",2022-05-07,"Onyx",2022-05-22,2022-05-22 02:58:34,15,4,"Black"
"48519035","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 8 months 27 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-05-08,"Edman",2022-05-22,2022-05-22 02:58:34,14,4,"White"
"49010609","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 months 18 days","Female","Large","Tan","","No","Unknown","Doggie Town",2022-04-26,"Chamaca",2022-05-22,2022-05-22 02:58:34,26,1,"Tan"
"49097909","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 15 days","Female","Medium","White",NA,"No","Unknown","Rover Refuge",2022-05-07,"Maddie",2022-05-22,2022-05-22 02:58:34,15,2,"White"
"49281056","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 3 days","Female","Medium","White/Tan","","No","Unknown","Doggie Town",2022-05-21,"Lady McKayla",2022-05-22,2022-05-22 02:58:34,1,1,"White"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 5 months 2 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-05-22,2022-05-22 02:58:34,153,3,"Brown"
"49367834","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 4 months 16 days","Female","Large","Brown","","No","Unknown","Foster Home",2022-01-06,"Savannah",2022-05-22,2022-05-22 02:58:34,136,2,"Brown"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 4 months 7 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-05-22,2022-05-22 02:58:34,128,2,"Tan"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 2 months","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-05-22,2022-05-22 02:58:34,123,6,"White"
"49703366","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 2 months 18 days","Male","Medium","Blue","","No","Unknown","Foster Home",2022-03-03,"Wonka Whirl",2022-05-22,2022-05-22 02:58:34,80,3,"Blue"
"49703386","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 8 months 20 days","Male","Medium","Tan/White","","No","Unknown","Doggie Town",2022-05-20,"Plop (Kane)",2022-05-22,2022-05-22 02:58:34,2,1,"Tan"
"49706606","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 2 months 18 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Pluto",2022-05-22,2022-05-22 02:58:34,65,7,"Tan"
"49706658","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 2 months 18 days","Male","Large","Tan","","No","Unknown","Foster Home",2022-03-18,"Bear",2022-05-22,2022-05-22 02:58:34,65,5,"Tan"
