"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"17509931","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","10 years 10 days","Male","Medium","Brindle","","No","Unknown","Foster Home",2021-10-28,"Sam (Peanut) (Kody)",2022-01-30,2022-01-30 18:05:21,94,10,"Brindle"
"31585644","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","8 years 2 months 18 days","Male","Small","Grey/White","","No","Unknown","Doggie Den",2022-01-27,"Harryl",2022-01-30,2022-01-30 18:05:21,3,8,"Grey"
"42475998","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","11 years 5 months 16 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2021-11-04,"Bullet",2022-01-30,2022-01-30 18:05:21,87,11,"White"
"48708797","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 4 months 9 days","Female","Medium","White/Black","","No","Unknown","Foster Home",2021-10-28,"Spots",2022-01-30,2022-01-30 18:05:21,94,2,"White"
"49179490","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","15 years  1 month 28 days","Female","Large","Black/White","","No","Unknown","Foster Home",2021-12-10,"Missy Elliott",2022-01-30,2022-01-30 18:05:21,51,15,"Black"
"49222040","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year  1 month 21 days","Male","Large","White/Black","","No","Unknown","Foster Home",2022-01-14,"Bo-D",2022-01-30,2022-01-30 18:05:21,16,1,"White"
"49248663","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 7 months 16 days","Male","Medium","Brindle","","No","Unknown","Foster Home",2021-12-14,"Solstice",2022-01-30,2022-01-30 18:05:21,47,1,"Brindle"
"49272530","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month 13 days","Female","Large","White/Black","","No","Unknown","Foster Home",2021-12-17,"Opulent",2022-01-30,2022-01-30 18:05:21,44,2,"White"
"49276838","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month 12 days","Female","Large","Grey/White","","No","Unknown","Foster Home",2021-12-17,"Babe Watch",2022-01-30,2022-01-30 18:05:21,44,2,"Grey"
"49305673","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years  1 month 7 days","Female","Medium","Black/White",NA,"No","Unknown","Foster Home",2021-12-23,"Klaxonia",2022-01-30,2022-01-30 18:05:21,38,3,"Black"
"49321684","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years  1 month 2 days","Male","Large","Black/White",NA,"No","Unknown","Foster Home",2021-12-28,"Kollin",2022-01-30,2022-01-30 18:05:21,33,3,"Black"
"49334872","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 months 9 days","Female","Medium","Black",NA,"No","Unknown","Foster Home",2021-12-30,"Vespa 2 (red)",2022-01-30,2022-01-30 18:05:21,31,0,"Black"
"49340188","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years 28 days","Female","Medium","Black","","No","Unknown","Rover Refuge",2021-12-31,"Sharpie",2022-01-30,2022-01-30 18:05:21,30,4,"Black"
"49343003","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 25 days","Female","Large","Grey/White","","No","Unknown","Foster Home",2022-01-02,"Cherry (Flea)",2022-01-30,2022-01-30 18:05:21,28,6,"Grey"
"49359324","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 25 days","Male","Large","Black",NA,"No","Unknown","Doggie Town",2022-01-05,"Deebo",2022-01-30,2022-01-30 18:05:21,25,3,"Black"
"49367294","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","11 months 24 days","Female","Large","Black/Brown","","No","Unknown","Doggie Town",2022-01-06,"Clovis",2022-01-30,2022-01-30 18:05:21,24,0,"Black"
"49374190","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 23 days","Female","Large","Brown/White",NA,"No","Unknown","Office",2022-01-07,"Sandy",2022-01-30,2022-01-30 18:05:21,23,6,"Brown"
"49374202","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 23 days","Female","Large","Grey/White",NA,"No","Unknown","Office",2022-01-07,"Pretty Girl",2022-01-30,2022-01-30 18:05:21,23,10,"Grey"
"49389633","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 20 days","Female","Large","White","","No","Unknown","Mutt Hut",2022-01-10,"Kenai",2022-01-30,2022-01-30 18:05:21,20,3,"White"
"49422843","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 14 days","Female","Large","Brown/White","","No","Unknown","Mutt Hut",2022-01-16,"Nuggie",2022-01-30,2022-01-30 18:05:21,14,4,"Brown"
"49423799","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years 14 days","Female","Medium","White/Brindle",NA,"No","Unknown","Rover Refuge",2022-01-16,"Peapod",2022-01-30,2022-01-30 18:05:21,14,4,"White"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-01-30,2022-01-30 18:05:21,11,NA,"White"
"49449310","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 10 days","Female","Large","Grey",NA,"No","Unknown","Mutt Hut",2022-01-20,"Chestnut",2022-01-30,2022-01-30 18:05:21,10,4,"Grey"
"49454482","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","","Male","Medium","White/Black","","No","Unknown","Mutt Hut",2022-01-21,"Squirrel",2022-01-30,2022-01-30 18:05:21,9,NA,"White"
