"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"11681530","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Hound","12 years  1 month 7 days","Male","Medium","Black","","No","Yes","Foster Home",2022-06-06,"Pugsley",2022-07-30,2022-07-30 03:27:03,54,12,"Black"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 9 months 13 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-07-30,2022-07-30 03:27:03,78,12,"White"
"33162150","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 5 months 22 days","Male","Large","Brown/White","","No","Unknown","Doggie Den",2022-07-21,"Monopoly (Major)",2022-07-30,2022-07-30 03:27:03,9,8,"Brown"
"37772088","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","9 years 5 months 25 days","Female","Medium","Tan/White","","No","Unknown","Foster Home",2022-07-22,"Cinderella",2022-07-30,2022-07-30 03:27:03,8,9,"Tan"
"43086544","Dog","Terrier, Pit Bull/Mix","3 years 7 months 3 days","Male","Large","White",NA,"No","Unknown","Doggie Town",2022-07-25,"DJ",2022-07-30,2022-07-30 03:27:03,5,3,"White"
"45871349","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 9 months 18 days","Male","Large","Black/Tan","","No","Unknown","Rover Refuge",2022-07-25,"Hulk",2022-07-30,2022-07-30 03:27:03,5,3,"Black"
"46097668","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 16 days","Male","Large","White/Grey",NA,"No","Unknown","Doggie Town",2022-07-22,"Tyson",2022-07-30,2022-07-30 03:27:03,8,2,"White"
"48954421","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 9 months 4 days","Male","Large","White/Brindle",NA,"No","Unknown","Rover Refuge",2022-07-18,"Goober",2022-07-30,2022-07-30 03:27:03,12,1,"White"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 6 months 15 days","Male","Medium","Tan/White","","No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-07-30,2022-07-30 03:27:03,197,2,"Tan"
"49443331","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 months 11 days","Female","Medium","White/Tan","","No","Unknown","Foster Home",2022-03-04,"Clover",2022-07-30,2022-07-30 03:27:03,148,0,"White"
"49658659","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","6 years 5 months 6 days","Female","Medium","Black/White","","No","Unknown","Doggie Town",2022-07-25,"Lexie",2022-07-30,2022-07-30 03:27:03,5,6,"Black"
"49867569","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 4 months  1 day","Female","Medium","White/Brown","","No","Unknown","Foster Home",2022-05-10,"Sugar",2022-07-30,2022-07-30 03:27:03,81,3,"White"
"50133334","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 2 months 23 days","Female","Large","Grey/White",NA,"No","Unknown","Foster Home",2022-05-07,"Kiwi",2022-07-30,2022-07-30 03:27:03,84,1,"Grey"
"50193895","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 2 months 14 days","Male","Large","Brown/White","","No","Unknown","Foster Home",2022-05-15,"Marmaduke (Ace)",2022-07-30,2022-07-30 03:27:03,76,7,"Brown"
"50208127","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 2 months 13 days","Female","Medium","White/Tan","","No","Unknown","Doggie Town",2022-07-12,"Banks",2022-07-30,2022-07-30 03:27:03,18,3,"White"
"50236801","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 months 25 days","Male","Large","Brown","","No","Unknown","Overnight Volunteer",2022-07-16,"Grizzly Bear",2022-07-30,2022-07-30 03:27:03,14,1,"Brown"
"50244948","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 2 months 8 days","Female","Medium","Brown","","No","Unknown","Rover Refuge",2022-07-28,"Lemon Drop 3",2022-07-30,2022-07-30 03:27:03,2,2,"Brown"
"50392301","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year  1 month 21 days","Male","Large","Brown","","No","Unknown","Foster Home",2022-07-09,"Billiam (Draco)",2022-07-30,2022-07-30 03:27:03,21,1,"Brown"
