"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"31072822","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 20 days","Male","Large","Fawn/White","","No","Unknown","Foster Home",2022-03-20,"Babbles(Gotti)",2022-04-09,2022-04-09 02:35:16,20,7,"Fawn"
"34800791","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years  1 month 2 days","Female","Large","Black/White","","No","Unknown","Doggie Town",2022-03-31,"Song (Bella)",2022-04-09,2022-04-09 02:35:16,9,6,"Black"
"36200331","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 years 22 days","Female","Medium","Brown","","No","Unknown","Foster Home",2022-03-04,"Corra",2022-04-09,2022-04-09 02:35:16,36,8,"Brown"
"42216899","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 years 8 months 25 days","Female","Medium","Grey/White","","No","Unknown","Doggie Town",2022-04-05,"Braylynn",2022-04-09,2022-04-09 02:35:16,4,5,"Grey"
"42340880","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 5 months 11 days","Female","Large","Tan/White",NA,"No","Unknown","Doggie Den",2022-03-30,"Lola",2022-04-09,2022-04-09 02:35:16,10,3,"Tan"
"48696743","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 6 months 20 days","Male","Large","Tan","","No","Unknown","Rover Refuge",2022-04-03,"Honeybear",2022-04-09,2022-04-09 02:35:16,6,1,"Tan"
"49140299","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 18 days","Female","Medium","White","","No","Unknown","Foster Home",2021-11-24,"Stormy B",2022-04-09,2022-04-09 02:35:16,136,1,"White"
"49259589","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 9 months 24 days","Male","Large","Golden","","No","Unknown","Foster Home",2021-12-15,"Peaches",2022-04-09,2022-04-09 02:35:16,115,1,"Golden"
"49283649","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 3 months 20 days","Female","Medium","Brown/White","","No","Unknown","Foster Home",2021-12-20,"ZooBear",2022-04-09,2022-04-09 02:35:16,110,3,"Brown"
"49367834","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 3 months 3 days","Female","Large","Brown","","No","Unknown","Foster Home",2022-01-06,"Savannah",2022-04-09,2022-04-09 02:35:16,93,2,"Brown"
"49374202","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 3 months 2 days","Female","Large","Grey/White","","No","Unknown","Foster Home",2022-01-07,"Pretty Girl",2022-04-09,2022-04-09 02:35:16,92,10,"Grey"
"49420746","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 2 months 25 days","Male","Medium","Tan/White",NA,"No","Unknown","Foster Home",2022-01-14,"Short Rib",2022-04-09,2022-04-09 02:35:16,85,2,"Tan"
"49442113","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 18 days","Male","Large","White","","No","Unknown","Foster Home",2022-01-19,"Blazed Donut",2022-04-09,2022-04-09 02:35:16,80,6,"White"
"49458265","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 2 months 18 days","Female","XL","Black","","No","Unknown","Foster Home",2022-01-23,"Samantha",2022-04-09,2022-04-09 02:35:16,76,8,"Black"
"49458888","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","6 months 18 days","Male","Medium","Tan/White","","No","Unknown","Doggie Den",2022-04-05,"Ash (Rusty)",2022-04-09,2022-04-09 02:35:16,4,0,"Tan"
"49544453","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 2 months 3 days","Female","Large","Black","","No","Unknown","Rover Refuge",2022-04-07,"Rose",2022-04-09,2022-04-09 02:35:16,2,5,"Black"
"49601836","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month 25 days","Female","Large","Black/White","","No","Unknown","Foster Home",2022-02-15,"Royal Tea",2022-04-09,2022-04-09 02:35:16,53,2,"Black"
"49685941","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 23 days","Female","Large","Brindle/White","","No","Unknown","Doggie Den",2022-04-01,"Bella",2022-04-09,2022-04-09 02:35:16,8,1,"Brindle"
"49688639","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years  1 month 7 days","Female","Large","Tan","","No","Unknown","Doggie Den",2022-04-05,"Vita",2022-04-09,2022-04-09 02:35:16,4,3,"Tan"
"49706606","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years  1 month 5 days","Male","Large","Tan","","No","Unknown","Doggie Den",2022-03-18,"Pluto",2022-04-09,2022-04-09 02:35:16,22,7,"Tan"
"49706658","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years  1 month 5 days","Male","Large","Tan","","No","Unknown","Doggie Den",2022-03-18,"Bear",2022-04-09,2022-04-09 02:35:16,22,5,"Tan"
"49714726","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","12 years  1 month 3 days","Male","Medium","White/Black",NA,"No","Unknown","Foster Home",2022-03-06,"Crow",2022-04-09,2022-04-09 02:35:16,34,12,"White"
"49748853","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 29 days","Female","Large","Tan/White","","No","Unknown","Foster Home",2022-03-11,"Honey",2022-04-09,2022-04-09 02:35:16,29,3,"Tan"
"49776511","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 24 days","Male","Medium","Grey","","No","Unknown","Rover Refuge",2022-03-15,"Buck",2022-04-09,2022-04-09 02:35:16,25,3,"Grey"
"49781904","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 24 days","Male","Large","Brown","","No","Unknown","Mutt Hut",2022-03-16,"Dinosaur",2022-04-09,2022-04-09 02:35:16,24,5,"Brown"
"49800056","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 21 days","Male","Large","Grey/White","","No","Unknown","Dog Intake",2022-04-08,"Chaka",2022-04-09,2022-04-09 02:35:16,1,1,"Grey"
"49822279","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 6 months 18 days","Male","Large","Brindle",NA,"No","Unknown","Doggie Town",2022-03-22,"Reese",2022-04-09,2022-04-09 02:35:16,18,1,"Brindle"
"49824728","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 6 months 18 days","Female","Medium","Brindle","","No","Yes","Mutt Hut",2022-03-23,"LuLu",2022-04-09,2022-04-09 02:35:16,17,3,"Brindle"
"49830763","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 16 days","Male","Large","Tan","","No","Unknown","Mutt Hut",2022-03-24,"James",2022-04-09,2022-04-09 02:35:16,16,3,"Tan"
"49851107","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 13 days","Female","Large","Black/White","","No","Unknown","Mutt Hut",2022-03-27,"Angellina",2022-04-09,2022-04-09 02:35:16,13,2,"Black"
"49857252","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 12 days","Female","Large","Tan/White","","No","Unknown","Mutt Hut",2022-03-28,"Lassie",2022-04-09,2022-04-09 02:35:16,12,2,"Tan"
"49867561","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 11 days","Male","Medium","White","","No","Unknown","Doggie Town",2022-03-29,"Bam Bam",2022-04-09,2022-04-09 02:35:16,11,3,"White"
"49867569","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 11 days","Female","Medium","White/Brown","","No","Unknown","Doggie Town",2022-03-29,"Sugar",2022-04-09,2022-04-09 02:35:16,11,3,"White"
"49881927","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years 9 days","Male","Medium","Grey","","No","Unknown","Doggie Den",2022-04-06,"Canon",2022-04-09,2022-04-09 02:35:16,3,4,"Grey"
"49884591","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 8 days","Male","Large","Rust/Black",NA,"No","Unknown","Office",2022-03-31,"Zenith",2022-04-09,2022-04-09 02:35:16,9,1,"Rust"
"49885174","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 8 days","Male","Large","White/Red",NA,"No","Unknown","Mutt Hut",2022-04-01,"King Spotsalot",2022-04-09,2022-04-09 02:35:16,8,1,"White"
"49885425","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 8 days","Male","Large","White/Brown",NA,"No","Unknown","Foster Home",2022-04-01,"Buddy Barnes",2022-04-09,2022-04-09 02:35:16,8,1,"White"
"49893916","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 7 days","Female","Large","Tan/White","","No","Unknown","Doggie Town",2022-04-02,"Taurasi",2022-04-09,2022-04-09 02:35:16,7,1,"Tan"
"49903527","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","","Female","Medium","Brown/Black",NA,"No","Unknown","Mutt Hut",2022-04-04,"Sadie",2022-04-09,2022-04-09 02:35:16,5,NA,"Brown"
"49903537","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 5 days","Female","Medium","White/Brown",NA,"No","Unknown","Mutt Hut",2022-04-04,"Patches",2022-04-09,2022-04-09 02:35:16,5,1,"White"
"49911762","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 4 days","Male","Large","Black/White",NA,"No","Unknown","Doggie Town",2022-04-05,"Bigfoot",2022-04-09,2022-04-09 02:35:16,4,2,"Black"
"49914915","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 3 days","Female","Medium","Brown",NA,"No","Unknown","Rover Refuge",2022-04-05,"Fiona",2022-04-09,2022-04-09 02:35:16,4,1,"Brown"
"49916390","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 3 days","Male","Large","White/Brindle",NA,"No","Unknown","Mutt Hut",2022-04-06,"Lugnut",2022-04-09,2022-04-09 02:35:16,3,4,"White"
"49916791","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 months 3 days","Female","Medium","Black/White",NA,"No","Unknown","Doggie Den",2022-04-06,"Lilac",2022-04-09,2022-04-09 02:35:16,3,0,"Black"
